imo,latitude,longitude,speed,positiontimestamp
9131137,21.3768333333333,72.2408333333333,0.3,2018-08-23 03:54:51.747000
9131137,21.3811666666667,72.242,0.1,2018-08-23 04:54:48.973000
9131137,21.3811666666667,72.2418333333333,0,2018-08-23 05:48:48.043000
9131137,21.3815,72.2415,0.2,2018-08-23 06:48:48.686000
9131137,21.3816666666667,72.2413333333333,0.5,2018-08-23 07:36:48.740000
9131137,21.3818333333333,72.241,0.2,2018-08-23 08:54:50.188000
9131137,21.3818333333333,72.2411666666667,0.1,2018-08-23 09:42:50.885000
9131137,21.3815,72.2416666666667,0.2,2018-08-23 10:54:48.999000
9131137,21.381,72.2421666666667,0.2,2018-08-23 11:54:48.976000
9131137,21.3788333333333,72.2421666666667,0.4,2018-08-23 12:24:49.639000
9131137,21.3761666666667,72.2396666666667,0.1,2018-08-23 13:54:50.505000
9131137,21.3761666666667,72.2395,0,2018-08-23 14:54:49.602000
9131137,21.3763333333333,72.2401666666667,0,2018-08-23 15:54:48.431000
9131137,21.3765,72.2405,0.2,2018-08-23 16:30:48.409000
9131137,21.3813333333333,72.2413333333333,0.1,2018-08-23 17:54:50.790000
9131137,21.3811666666667,72.2413333333333,0.2,2018-08-23 18:54:48.320000
9131137,21.3811666666667,72.2415,0,2018-08-23 19:48:50.875000
9131137,21.3813333333333,72.2408333333333,0.2,2018-08-23 20:48:48.403000
9131137,21.3815,72.241,0,2018-08-23 21:36:47.804000
9131137,21.3808333333333,72.2416666666667,0,2018-08-23 22:48:48.285000
9131137,21.3783333333333,72.242,0.3,2018-08-23 23:54:50.741000
9131137,21.3766666666667,72.2405,0.1,2018-08-24 00:48:48.424000
9131137,21.3761666666667,72.2391666666667,0.1,2018-08-24 01:54:50.369000
9131137,21.3763333333333,72.239,0,2018-08-24 02:54:48.574000
9131137,21.3761666666667,72.2398333333333,0.1,2018-08-24 03:54:47.586000
9131137,21.3805,72.2421666666667,0.5,2018-08-24 04:54:49.611000
9131137,21.3813333333333,72.2416666666667,0.1,2018-08-24 05:42:48.929000
9131137,21.3816666666667,72.2415,0.1,2018-08-24 06:54:49.160000
9131137,21.3818333333333,72.241,0.1,2018-08-24 07:54:49.607000
9131137,21.384,72.2416666666667,0.4,2018-08-24 08:48:49.164000
9131137,21.3848333333333,72.2426666666667,0.1,2018-08-24 09:54:49.050000
9131137,21.3848333333333,72.2421666666667,0.1,2018-08-24 10:54:50.504000
9131137,21.385,72.2421666666667,0.3,2018-08-24 11:54:47.690000
